Region_name,year,gvaperhead_pounds_cp,gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.x,perhourworked_pounds_cp,perfilledjob_pounds_cp,UK_gvaperhead_pounds_cp,UK_gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.y,UK_perhourworked_pounds_cp,UK_perfilledjob_pounds_cp
Devon,2006,14624.171751632186,NA,NA,19.638858964543978,30058.406804503764,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
Devon,2007,14752.597712851702,NA,NA,20.435042572630117,30661.830763176844,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
Devon,2008,15121.669679913986,NA,NA,21.207341060544753,31703.00156799719,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
Devon,2009,15063.802193214273,NA,NA,21.02841336695214,31351.2774009388,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
Devon,2010,15720.029958090545,NA,NA,22.021080889743637,32766.405807424246,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
Devon,2011,15889.161604979698,NA,NA,22.397861913658126,33403.25516036043,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
Devon,2012,16104.092816796221,26781.341107871718,34598.87005649717,22.80015363520899,33403.75783184666,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
Devon,2013,16700.671375010897,28015.211350007314,36207.93950850661,23.101903623393074,34920.183479548155,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
Devon,2014,17057.6541099296,28734.15877640204,36334.49990790201,23.34270233307884,35386.38720163029,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
Devon,2015,17483.153783424183,29321.91189173625,35788.08645229309,23.535800817739133,35232.26969370915,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
Devon,2016,17785.921805976097,29857.061177815896,38347.714338167796,24.338975880401165,36990.207016239,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
Devon,2017,18444.73956027741,31384.505021520807,36988.50185999324,25.23025214612273,37972.22255975309,25586.866310837133,41031.150763279955,52876.237949270304,31.52572569382225,50887.3379283595
Devon,2018,18412.848948118462,31714.285714285717,38037.38317757009,25.67069640924774,37978.09580751406,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
Devon,2019,18896.359938917154,32673.58110054739,38992.6078734743,26.286470797807716,39014.47261143429,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
Devon,2020,17551.798897470027,30414.38848920863,37175.518818149845,26.89909425158084,36657.5043138207,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
Devon,2021,20530.21270380251,35983.02890838487,44982.02085580726,29.39804728062364,42957.34141462703,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
Devon,2022,22375.18861648792,39548.32234012045,48558.0985915493,29.721171381871255,46097.4831151944,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
Dorset and Somerset,1998,10698.192427394752,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
Dorset and Somerset,1999,11333.008439582945,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
Dorset and Somerset,2000,11916.238534123697,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
Dorset and Somerset,2001,12118.624447628283,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
Dorset and Somerset,2002,12485.694514678094,NA,NA,NA,27586.764527522446,16085.79314272791,NA,NA,NA,32821.521292139805
Dorset and Somerset,2003,13099.020386550172,NA,NA,NA,28627.017018537405,16975.748910963528,NA,NA,NA,34503.31916247595
Dorset and Somerset,2004,13754.971304354987,NA,NA,19.202549931262343,29587.056437686522,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
Dorset and Somerset,2005,14627.7519485009,NA,NA,19.908820339072424,30633.131497068298,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
Dorset and Somerset,2006,15208.467544410496,NA,NA,20.476016401848042,32113.695622341154,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
Dorset and Somerset,2007,15459.382765543944,NA,NA,20.33176014129113,32645.042422268256,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
Dorset and Somerset,2008,16136.82057225134,NA,NA,22.01824308473177,33664.404945260794,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
Dorset and Somerset,2009,16024.093414482619,NA,NA,21.76924056020175,33917.42561620978,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
Dorset and Somerset,2010,16194.226509174334,NA,NA,22.398530518379456,34197.45265404107,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
Dorset and Somerset,2011,16352.64257169014,NA,NA,21.856493968076595,34907.78633713155,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
Dorset and Somerset,2012,16574.323340952727,27947.50656167979,35677.667951080584,22.857706338734772,35559.236451556884,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
Dorset and Somerset,2013,16910.116749278004,28745.397159389795,35431.998703193385,22.814016430700974,35102.93359542496,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
Dorset and Somerset,2014,17703.550919490026,30274.350223155685,37678.48390785819,23.503654793352254,37005.65923601116,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
Dorset and Somerset,2015,17885.41172040954,30791.234746096314,37708.50072312389,24.118620543669106,37664.25747675477,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
Dorset and Somerset,2016,18134.27290740383,31375.751241181082,39253.023864007846,25.050094451842703,38075.29125259226,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
Dorset and Somerset,2017,19358.652726596167,33788.13670289381,41023.84737678855,26.17801100235304,40538.290177743846,25586.866310837133,41031.150763279955,52876.237949270304,31.52572569382225,50887.3379283595
Dorset and Somerset,2018,19821.695929294296,34786.82933228388,41609.91683665464,25.860796576742832,40206.93273170007,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
Dorset and Somerset,2019,20252.92135935922,35621.48002619515,41964.20305508409,26.16732527532246,41668.8371579944,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
Dorset and Somerset,2020,19510.339817676235,34518.04055833553,41813.68639336417,30.40497331966781,41094.193855859136,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
Dorset and Somerset,2021,21131.044665928388,37522.28631358154,46291.44428271066,29.444264778169284,44983.057879814674,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
Dorset and Somerset,2022,23029.696980376266,41034.79853479854,49631.329113924054,31.57580613273648,47925.86594142004,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
East Anglia,1998,12482.523348805995,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
East Anglia,1999,12945.004814870768,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
East Anglia,2000,13557.503936294359,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
East Anglia,2001,14201.113967516465,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
East Anglia,2002,14815.880846288652,NA,NA,NA,30137.179192636344,16085.79314272791,NA,NA,NA,32821.521292139805
East Anglia,2003,15400.782330567083,NA,NA,NA,31579.70538164119,16975.748910963528,NA,NA,NA,34503.31916247595
East Anglia,2004,15839.340582608427,NA,NA,20.758793624368423,32304.73744614058,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
East Anglia,2005,16570.27343746561,NA,NA,21.438626534724243,34430.21070107157,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
East Anglia,2006,17769.338222455037,NA,NA,22.18193428725176,34869.268084588766,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
East Anglia,2007,18171.511162462622,NA,NA,23.211346578235933,36057.88220908625,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
East Anglia,2008,18523.34527097182,NA,NA,24.052442587806492,37610.13033721949,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
East Anglia,2009,18322.460494548544,NA,NA,24.47395748655125,38105.3954542236,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
East Anglia,2010,18612.524714953848,NA,NA,24.819334759984965,38582.799571709795,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
East Anglia,2011,18858.436741547903,NA,NA,25.52775173855338,39539.12002687796,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
East Anglia,2012,19555.042450558547,31957.772213575154,40918.46460445369,26.02175153494005,40755.38655652195,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
East Anglia,2013,20153.875871819426,33252.18688546823,42244.14197105444,26.317488735667226,41977.191910164685,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
East Anglia,2014,20648.612024990718,34313.55301441234,43009.074718005264,26.77226321901297,42126.844067044745,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
East Anglia,2015,20918.660456949947,34907.09573178942,43252.41908575242,27.280417509261923,42246.85374967205,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
East Anglia,2016,21398.387245083577,36023.690940907254,44344.65617232808,27.751161225160864,43301.29934640312,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
